index,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,,year
0,Aberfeldie,241 Buckley St,4,h,1380000,VB,Nelson,8/12/2017,7.5,3040,4,2,2,766,126,1970,Moonee Valley,-37.75595,144.90551,Western Metropolitan,1543,,2017
1,Northcote,67 Charles St,2,h,1100000,SP,Jellis,5/20/2017,5.5,3070,2,1,1,189,126,1970,Darebin,-37.7767,144.9924,Northern Metropolitan,11364,,2017
2,Balwyn North,42 Maud St,3,h,1480000,PI,Jellis,10/15/2016,9.2,3104,3,1,4,605,116,1950,Boroondara,-37.7951,145.0696,Southern Metropolitan,7809,,2016
3,Brunswick,13 Percy St,3,h,1055000,S,Nelson,5/7/2016,5.2,3056,3,1,1,324,126,1930,Moreland,-37.7653,144.9586,Northern Metropolitan,11918,,2016
4,Templestowe Lower,253 Thompsons Rd,4,h,1000000,VB,hockingstuart,8/13/2016,13.8,3107,4,3,2,728,164,1970,Manningham,-37.768,145.1027,Eastern Metropolitan,5420,,2016
5,Coburg,4/34 Gladstone St,2,u,650000,S,Barry,4/29/2017,7.8,3058,2,1,1,136,81,1975,Moreland,-37.7449,144.9754,Northern Metropolitan,11204,,2017
6,Glen Iris,27 Pascoe St,3,h,1510000,PI,hockingstuart,9/10/2016,9.2,3146,3,2,2,370,126,1970,Boroondara,-37.8597,145.0883,Southern Metropolitan,10412,,2016
7,Pascoe Vale,5/10 Dorset Rd,3,u,600000,S,Nelson,3/4/2017,9.9,3044,3,1,1,204,124,2008,Moreland,-37.7234,144.9497,Northern Metropolitan,7485,,2017
8,Preston,23 Dean St,4,h,1260000,SP,Nelson,5/14/2016,8.8,3072,4,3,2,654,150,1950,Darebin,-37.7365,145.0173,Northern Metropolitan,14577,,2016
9,Sunshine West,26 Bell St,4,h,645400,S,Barry,11/7/2016,13.5,3020,4,2,3,765,126,1970,Brimbank,-37.786,144.815,Western Metropolitan,6763,,2016
10,Coburg,24 Webb St,3,h,870000,S,Nelson,8/22/2016,7.8,3058,3,1,1,371,100,1980,Moreland,-37.735,144.9558,Northern Metropolitan,11204,,2016
11,Malvern East,2/25 Fisher St,3,t,1135000,S,Jellis,9/17/2016,11.2,3145,3,3,2,0,130,1988,Stonnington,-37.8812,145.057,Southern Metropolitan,8801,,2016
12,Coburg North,27 Williams Rd,4,h,770000,S,Brad,5/13/2017,9.2,3058,4,1,1,545,126,1970,Moreland,-37.7304,144.9605,Northern Metropolitan,3445,,2017
13,Keilor East,83 Wyong St,3,h,785000,S,Barry,6/18/2016,12.8,3033,3,1,2,606,141,1965,Moonee Valley,-37.7311,144.8663,Western Metropolitan,5629,,2016
14,Burwood,1/392 Burwood Hwy,3,t,752000,S,Allens,9/17/2016,11.7,3125,4,2,2,217,126,1993,Whitehorse,-37.8522,145.1312,Southern Metropolitan,5678,,2016
15,Ascot Vale,62 Mirams St,3,h,890000,SP,Brad,7/16/2016,5.9,3032,3,1,1,242,110,1920,Moonee Valley,-37.7765,144.9114,Western Metropolitan,6567,,2016
16,Hawthorn East,1/27 Auburn Gr,3,h,1405000,S,Kay,5/20/2017,7.5,3123,3,2,2,185,185,1985,Boroondara,-37.8255,145.0481,Southern Metropolitan,6482,,2017
17,Glenroy,73 Augustine Tce,4,h,651000,PI,Eview,5/27/2017,11.2,3046,4,1,2,587,126,1970,Moreland,-37.69897,144.90998,Northern Metropolitan,8870,,2017
18,Spotswood,59 Hope St,4,h,871500,PI,Jas,8/28/2016,7.7,3015,4,2,0,389,158,1990,Hobsons Bay,-37.8284,144.8861,Western Metropolitan,1223,,2016
19,Elwood,5/61 Ormond Rd,2,u,572500,PI,Kay,8/28/2016,7.7,3184,2,2,1,1307,126,1960,Port Phillip,-37.8838,144.9853,Southern Metropolitan,8989,,2016
20,Greensborough,6 Murumba St,4,h,865000,S,Morrison,9/16/2017,16.1,3088,4,2,2,734,211,1980,,-37.6929,145.1272,Northern Metropolitan,8524,,2017
21,Toorak,1A Boandyne Ct,2,h,3260000,S,Marshall,2/25/2017,4.6,3142,2,2,2,334,126,1970,Stonnington,-37.8361,145.023,Southern Metropolitan,7217,,2017
22,Melbourne,3811/80 Abeckett St,2,u,450000,VB,MICM,11/7/2016,2.8,3000,2,1,1,0,55,2014,Melbourne,-37.8091,144.9609,Northern Metropolitan,17496,,2016
23,Carrum Downs,38 Trafford Rd,4,h,525000,S,Harcourts,5/27/2017,34.9,3201,4,2,2,550,172,2010,Frankston,-38.08981,145.17353,South-Eastern Metropolitan,8060,,2017
24,Oakleigh South,8 Cedar Ct,3,h,880000,S,Buxton,7/8/2017,15.5,3167,3,2,2,504,126,1970,Kingston,-37.94043,145.09314,South-Eastern Metropolitan,3692,,2017
25,Moonee Ponds,12 Athol St,6,h,2150000,VB,Nelson,3/4/2017,6.9,3039,6,3,2,912,126,1970,Moonee Valley,-37.77,144.9189,Western Metropolitan,6232,,2017
26,Elsternwick,15 Murray St,4,h,3000000,S,Biggin,3/18/2017,8.5,3185,4,2,2,661,204,1970,Glen Eira,-37.8844,145.0117,Southern Metropolitan,4898,,2017
27,Murrumbeena,5 Donal St,3,h,1255000,S,hockingstuart,4/22/2017,12.1,3163,3,1,2,557,108,1950,Glen Eira,-37.9059,145.0733,Southern Metropolitan,4442,,2017
28,Reservoir,124 Rathcown Rd,2,h,680000,S,hockingstuart,6/27/2016,11.2,3073,2,1,1,750,92,1960,Darebin,-37.7089,145.0192,Northern Metropolitan,21650,,2016
29,Hoppers Crossing,2 Dunk Ct,3,h,418000,S,Ray,5/27/2017,18.4,3029,3,2,1,435,126,1970,Wyndham,-37.86767,144.68409,Western Metropolitan,13830,,2017
30,Oakleigh South,20 Vanessa Ct,4,h,937500,SP,Greg,5/28/2016,14.7,3167,4,2,2,539,226,1993,Kingston,-37.9413,145.0957,South-Eastern Metropolitan,3692,,2016
31,Bundoora,219 Greenwood Dr,3,h,745000,S,Ray,9/23/2017,12.1,3083,3,1,2,586,126,1970,,-37.70762,145.07179,Northern Metropolitan,10175,,2017
32,Rosanna,4/32 Lower Plenty Rd,2,u,618000,S,Miles,11/27/2016,11.4,3084,2,1,1,151,96,1980,Banyule,-37.7458,145.0609,Eastern Metropolitan,3540,,2016
33,Armadale,5/29 Mercer Rd,2,t,1200000,S,RT,5/6/2017,6.3,3143,2,2,1,189,126,1970,Stonnington,-37.8532,145.0259,Southern Metropolitan,4836,,2017
34,Brunswick,143 Gold St,2,h,860000,S,Nelson,5/7/2016,5.2,3056,2,1,1,181,126,1910,Moreland,-37.7742,144.9541,Northern Metropolitan,11918,,2016
35,Bentleigh East,2/34 Adrian St,3,u,720000,PI,Gary,7/16/2016,13.9,3165,3,2,1,228,126,1996,Glen Eira,-37.9329,145.0617,Southern Metropolitan,10969,,2016
36,Preston,1 Bellarine St,5,h,1400000,PI,hockingstuart,6/3/2017,8.4,3072,5,2,2,558,217,1925,Darebin,-37.73472,144.99658,Northern Metropolitan,14577,,2017
37,Preston,5 North St,3,h,815000,S,Love,10/15/2016,8.8,3072,3,1,1,0,126,1970,Darebin,-37.7333,144.9844,Northern Metropolitan,14577,,2016
